Category,Location,Investors
E-Tech,Bengaluru,Tiger Global Management
Transportation,Gurgaon,Susquehanna Growth Equity
E-commerce,Bengaluru,Sequoia Capital India
FinTech,New Delhi,Vinod Khatumal
Fashion and Apparel,Mumbai,Sprout Venture Partners
Logistics,Chennai,Chiratae Ventures
Hospitality,Gurgaon,Ant Financial
Technology,Pune,Sathguru Catalyzer Advisors
E-Commerce,Gurgaon,Ping An Global Voyager Fund
Aerospace,Bengaluru,"Mumbai Angels, Ravikanth Reddy"
Technology,Gurgaon,"SAIF Partners, Spring Canter Investment Ltd."
B2B-focused foodtech startup,Bengaluru,"Paytm, NPTK, Sabre Partners and Neoplux"
E-Commerce,Bengaluru,Vertex Growth Fund
Finance,Mumbai,
Video,Bengaluru,Ruizheng Investment
Gaming,Noida,Manipal Education and Medical Group (MEMG)
E-Commerce,Faridabad,SoftBank Vision Fund
Software,San Francisco,"Sequoia, CapitalG, Accel"
Health and wellness,Gurgaon,"Sauce.vc, Rainforest Ventures"
Education,Gurgaon,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg"
Food and Beverage,Gurgaon,RB Investments
Health and Wellness,Gurgaon,"DG Daiwa Ventures, DG Incubation"
B2B Marketing,Bengaluru,Trifecta Capital Advisors
FinTech,Gurgaon,FinTech
Video Games,Pune,Dream Incubator
SaaS,"San Jose,","Altimeter Capital, Sutter Hill Ventures"
Last Mile Transportation,Amritsar,Startup Buddy
E-Commerce,Delhi,Amour Infrastructure
Healthcare,Mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing"
Last Mile Transportation,Kormangala,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital"
Education,Tulangan,IAN Fund and DSG Consumer Partners
FinTech,Noida,Vijay Shekhar Sharma
Customer Service,Bengaluru,Lightbox
B2B,Bengaluru,"Altimeter Capital, DST Global"
Consumer Goods,Gurgaon,Ayushmann Khurana
FinTech,Pune,"Matrix Partners India, Sequoia India"
FinTech,Mumbai,SAIF Partners
"Advertising, Marketing",Mumbai,TIW Private Equity
SaaS,Hyderabad,Exfinity Venture Partners
IoT,Burnsville,Breakthrough Energy Ventures
Information Technology,Bengaluru,Endiya Partners
Consumer Technology,Mumbai,A91 Partners
Health and Wellness,Menlo Park,Bennett Coleman and Company Ltd (BCCL)
Accounting,Bengaluru,"India Quotient, Axilor Ventures"
E-Commerce,Gurgaon,SC GG India Mobility Holdings LLC
Finance,New Delhi,Sequoia India
Retail,Bengaluru,
Finance,Mumbai,"Azim Premji, Binny Bansal"
Information Technology,Noida,Pine Labs Pte Ltd
E-Commerce,Bengaluru,Naspers
E-Commerce,Gurugram,MS Dhoni
Customer Service Platform,Palo Alto,March Capital Partners
Automotive,San Francisco,XL Innovate
Consumer Goods,Bengaluru,"Rashmi Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow)"
FinTech,Santa Monica,RPS Ventures
FinTech,Gurgaon,Tiger Global Management
Food and Beverage,Bengaluru,One97 Communications Ltd.
EdTech,Noida,Growth DNA
Services,Gurgaon,Vir Sanghvi
E-Commerce,Gurgaon,Softbank Vision Fund
Transportation,Bengaluru,Westbridge Capital
Finance,Gurgaon,"Lok Capital, IIFL Wealth"
Information Technology,Singapore,WaterBridge Ventures
Compliance,New Delhi,Kapil Dev
Transport,Kormangala,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury"
Artificial Intelligence,Taramani,March Capital Partners
Food and Beverage,New Delhi,Artha Venture
EdTech,Bengaluru,Qatar Investment Authority
E-Commerce,Singapore,"Composite Capital Management, Sequoia Capital India, Tiger Global Management"
Tech,Singapore,Undisclosed
Tech,Andheri,Ventureast
Health Care,Mumbai,Blume Ventures
Luxury Label,Mumbai,Binny Bansal
EdTech,Chembur,Multiple Angel Investors
E-Commerce,Bengaluru,General Atlantic
Food and Beverage,New Delhi,Anicut Capital
E-Commerce,Gurgaon,"Goldman Sachs, Accel Partners and Qualcomm"
Finance,Bengaluru,Matrix Partners
Finance,New Delhi,Insight Partners
Waste Management Service,Hyderabad,"Triton Investment Advisors, Pidilite Industries director Ajay Parekh"
Deep-Tech,Bengaluru,Blume Ventures and RTP Global
Agriculture,Nairobi,"Shell Foundation, DILA CAPITAL, Engie RDE Fund, EcoEnterprise Fund, EDFIMC (ElectriFI), Endeavor Catalyst Fund, CoCapital, Triodos, Alpha Mundi, and Lendahand"
Energy,New Delhi,IAN Fund
Digital Media,Bengaluru,Qiming Venture Partners
Digital Media,Bengaluru,Nexus Venture Partners
FinTech,Haryana,Tiger Global Management
FinTech,New York,WestBridge Capital
Transportation,Karnataka,Alteria Capital
Services,Mumbai/Bengaluru,Mumbai Angels
Transport,Bengaluru,Tata Sons
Waste Management Service,Bengaluru,C4D Partners
E-commerce,Delhi,"Indian Angel Network and other angel investors, Innov8 founder Ritesh Malik, Josh Talks founders Supriya Paul and Shobha Banga, and former Hero Corporate president Rohit Chanana"
Transport,Bengaluru,"Goldman Sachs Investment Partners and Silicon Valley-based Accel, Wellington, Sequoia Capital, B Capital, LightStreet, Sands Capital and International Finance Corporation,"
Saas,Hyderabad,Tiger Global Management
Automobile,Bengaluru,Sachin Bansal
Agtech,Mumbai,Equanimity Ventures
E-commerce,Bengaluru,"Korea Investment Partners, Vertex Ventures"
Food and Beverage,New Delhi,Sixth Sense Ventures
Finance,Bengaluru,Eight Roads
E-commerce,Bengaluru,Prasid Uno Family Trust
E-commerce,Bhopal,"Unilever, Beehive Capital Advisor, ABCOM Investments, Parekh Marine Transport,"
Social Media,New Delhi,"Orchid India, Hornbill Orchid India Fund, Chiratae Ventures (formerly IDG Ventures), 3one4 Capital, Lasmer NV"
Health and Wellness,Gurugram,Unnamed angel investors
Fintech,Bengaluru,Lightspeed India Partners
Edtech,Mumbai,Milestone
E-commerce,Mumbai,Supera Pte Ltd
Edtech,Bengaluru,Kalyan Krishnamurthy
SaaS,Mumbai,"Sequoia India, Tiger Global Management, Accel Partners"
